PMT_Gain,Image_No,Image_title,PMT_Number,pixels,Intensity,min,max,Laser_power
0.85,121,PMT85_0P_750_0001-0002,1,405000,0.00000001,129,4095,0
0.85,122,PMT85_10P_750_0001-0002,1,405000,2120.194,1727,4095,10
0.85,123,PMT85_12P_750_0001-0002,1,405000,2411.123,2195,4095,12
0.85,124,PMT85_14P_750_0001-0002,1,405000,2527.67,2470,4095,14
0.8,125,PMT8_14P_750_0001-0002,1,405000,2336.677,1455,4095,14
0.8,126,PMT8_16P_750_0001-0002,1,405000,2668.752,1839,4095,16
0.8,127,PMT8_18P_750-0002,1,405000,2901.785,2169,4095,18
0.8,128,PMT8_20P_750-0002,1,405000,3032.224,2423,4095,20
0.8,129,PMT8_12P_750_0001-0002,1,405000,1685.673,1005,4095,12
0.8,130,PMT8_10P_750_0001-0002,1,405000,1266.221,757,4095,10
0.8,131,PMT8_8P_750_0001-0002,1,405000,884.022,480,4095,8
0.8,132,PMT8_6P_750_0001-0002,1,405000,586.416,403,3996,6
0.8,133,PMT8_4P_750_0002-0002,1,405000,335.351,237,3558,4
0.8,134,PMT8_2P_750_0001-0002,1,405000,137.139,91,3889,2
0.8,135,PMT8_0P_750_0001-0002,1,405000,0.00000001,72,3124,0
0.75,149,PMT75_18P_750_0002-0002,1,405000,2853.222,1948,4095,18
0.75,150,PMT75_16P_750_0002-0002,1,405000,2397.796,1526,4095,16
0.75,151,PMT75_14P_750_0002-0002,1,405000,1943.276,1251,4095,14
0.75,152,PMT75_12P_750_0002-0002,1,405000,1521.522,999,4095,12
0.75,153,PMT75_10P_750_0002-0002,1,405000,1129.209,767,3837,10
0.75,154,PMT75_8P_750_0002-0002,1,405000,789.445,473,2862,8
0.75,155,PMT75_6P_750_0002-0002,1,405000,508.006,336,2637,6
0.75,156,PMT75_4P_750_0003-0002,1,405000,272.002,153,2190,4
0.75,157,PMT75_2P_750_0002-0002,1,405000,100.543,99,1928,2
0.75,158,PMT75_0P_750_0002-0002,1,405000,0.00000001,30,2040,0
0.7,159,PMT7_0P_750_0001-0002,1,405000,0.00000001,21,1188,0
0.7,160,PMT7_2P_750_0001-0002,1,405000,67.216,40,1324,2
0.7,161,PMT7_4P_750_0001-0002,1,405000,184.938,70,1493,4
0.7,162,PMT7_6P_750_0001-0002,1,405000,345.465,215,1683,6
0.7,163,PMT7_8P_750_0001-0002,1,405000,544.025,346,2672,8
0.7,164,PMT7_10P_750_0001-0002,1,405000,790.734,483,2990,10
0.7,165,PMT7_12P_750_0001-0002,1,405000,1069.023,663,3938,12
0.7,166,PMT7_14P_750_0001-0002,1,405000,1374.433,898,4095,14
0.7,167,PMT7_16P_750_0001-0002,1,405000,1685.844,1137,4095,16
0.7,168,PMT7_18P_750_0002-0002,1,405000,2023.45,1368,4095,18
0.7,169,PMT7_20P_750_0002-0002,1,405000,2377.374,1632,4095,20
0.65,174,PMT65_18P_750_0003-0002,1,405000,1429.643,941,4095,18
0.65,175,PMT65_20P_750_0003-0002,1,405000,1682.817,1163,4095,20
